地域ID,地域,全国学力学習状況調査中3数学【点】,総人口【人】,総面積【ha】,大学数【校】,財政教育費【千円】,図書館数【館】,１人当たり県民所得【千円】,教員数【人】
1,北海道,49,5043000,7841840,37,425394219,165,2682,119290
2,青森県,49,1165000,964510,10,142268449,35,2633,30490
3,岩手県,46,1145000,1527504,6,147785070,47,2666,31500
4,宮城県,48,2248000,728229,14,179822326,35,2803,52100
5,秋田県,52,897000,1163752,7,102725573,49,2583,23030
6,山形県,50,1011000,932315,7,111580960,40,2843,26250
7,福島県,46,1743000,1378439,8,217801537,71,2833,39560
8,茨城県,51,2806000,609756,11,272651255,67,3098,63360
9,栃木県,50,1885000,640809,9,185704357,55,3132,44660
10,群馬県,51,1890000,636228,15,170298537,56,2937,45470
11,埼玉県,52,7332000,379775,28,466781575,174,2890,152590
12,千葉県,51,6251000,515672,27,412201682,144,2988,132910
13,東京都,54,14178000,219993,144,1336373444,401,5214,243530
14,神奈川県,52,9225000,241632,33,395906687,85,2961,192050
15,新潟県,49,2099000,1258388,22,178002607,79,2784,55430
16,富山県,54,997000,424754,5,105192197,56,3120,26750
17,石川県,56,1098000,418620,14,116125582,41,2770,28460
18,福井県,55,739000,419054,6,93266272,37,3182,20530
19,山梨県,50,791000,446527,7,89108178,53,2982,20600
20,長野県,50,1987000,1356156,11,197299456,120,2788,49170
21,岐阜県,53,1916000,1062129,13,189194629,72,2875,48830
22,静岡県,52,3527000,777707,14,244848427,96,3110,81460
23,愛知県,54,7460000,517309,52,497083886,97,3428,164130
24,三重県,51,1711000,577448,7,171207295,47,2948,43270
25,滋賀県,50,1402000,401738,9,146503012,51,3097,36780
26,京都府,52,2520000,461220,34,172432509,68,2745,59560
27,大阪府,50,8757000,190534,58,532200283,155,2830,174870
28,兵庫県,52,5337000,840095,35,375266891,107,2887,124080
29,奈良県,50,1285000,369094,10,123911584,33,2501,35870
30,和歌山県,50,880000,472469,5,104949069,27,2751,24380
31,鳥取県,50,531000,350703,3,67733932,30,2313,16340
32,島根県,48,642000,670761,2,95129891,41,2768,21290
33,岡山県,51,1831000,711460,18,147360144,70,2665,47380
34,広島県,49,2714000,847894,21,187474685,86,2969,66710
35,山口県,52,1281000,611261,10,135905530,55,2960,33540
36,徳島県,51,685000,414699,4,82383875,29,3013,18910
37,香川県,53,917000,187687,4,93895128,30,2766,22520
38,愛媛県,50,1276000,567592,5,130137643,44,2471,31240
39,高知県,49,656000,710228,5,95654175,40,2491,18190
40,福岡県,51,5092000,498765,35,313303429,114,2630,113760
41,佐賀県,47,788000,244068,2,118784796,31,2575,23480
42,長崎県,48,1252000,413105,8,148845682,40,2483,36910
43,熊本県,48,1697000,740918,9,142179009,52,2498,47650
44,大分県,49,1085000,634070,5,122201905,33,2604,29150
45,宮崎県,47,1033000,773416,7,115310713,34,2289,28860
46,鹿児島県,48,1532000,918618,6,190093093,63,2408,45180
47,沖縄県,42,1466000,228209,8,178193897,39,2167,38310
